user,waktu,review
Nurma Wulan,4 minggu lalu,"Masyaallah puas bangettt, aku berangkat dari pare jam 05.30 sampe sana masih adem sejuk bgt. Kami ada yg jalan kaki ada yang naik ojek, jalan kaki sekitar 30 menit, naik ojek 40rb pp. Nanasnya enakk manis bgt dan murah, kalo duriannya kurang suka"
Sella Anjelika Putri,sebulan lalu,"Gunung Kelud punya jalur yang lumayan ekstrem dan menantang. Untuk sampai ke puncaknya wajib pakai guide, jadi lebih aman dan terarah karena pakai alat climbing. …"
Sri Tasiswa,2 bulan lalu,Tempatnya Indah terutama disepanjang jalan viewnya bagus...kita bisa jalan kaki atau naik ojek PP 40 RB...kita juga bisa minta pak ojeknya foto foto disepanjang jalan...jalan menuju kawah lewat terowongan sayang banget baunya pesing
Ismi Alfi,sebulan lalu,"Mendaki tanpa capek bisa ngojekkk
Sampai di pemandangan yang bagus banget murah meriah lagi next bakakalan kesini lagi"
Vicky Eka,4 bulan lalu,"Buat yang lewat ngantang viewnya kayak gini geys.... Bagus banget 👌.... Perkiraan waktu perjalanan kalau dari ngantang sampai kawah sekitar 5-6 jam ya .... Cman jangan lama lama ya di kawah, bau kawahnya gak sehat buat kesehatanmu 🥺 …"
Boediman Widjaja,2 bulan lalu,"Pegunungan di wilayah Kediri dengan view yang amazing, pendakian di puncak Pelangi dan Puncak Welirang bisa untuk pendaki pemula (1500 mdpl),tetap berhati-hati karena kontur medan lumayan menanjak dengan permukaan bebatuan dan berpasir. …"
japaa,2 bulan lalu,"Kelud selalu jd tempat wisata yang bikin rindu.  2 kalinya kesini dan Kelud ga pernah gagal soal pemandangan. Hawanya sejuk dan Damai, palagi kesini bareng orang spesial ❤❤. …"
Irvan Agus Setiawan,3 bulan lalu,"Bagus banget tempatnya, bisa untuk maen keluarga. Untuk akses mudah jika via kediri terus ada juga ojek yang menunggu di parkiran jika tidak mau jalan namun bagus juga untuk latihan lari pemula gunung"
Syil4zahra,2 bulan lalu,"Benar benar pemandangan yang sangat indah menakjubkan, HTM:  10 rb per orang ditambah uang parkir 5rb , jasa Ojek kalau ingin Ngojek 70K untuk PP, Kalau mau bawah sepeda sendiri juga di ijinkan. Medannya menanjak lumayan ekstrim dan jaraknya sekitar 5km, Aku sarankan kalau bisa gojek saja karena medannya jalan makadam berbatuan."
Akmal Syakib,2 bulan lalu,"bener2 miniatur Rinjani, ada track pasir, tangga, panjat batu, dan lewat sungai, klo kesini bener2 persiapan fisik bgt -jalan bc ke pintu rimba"
Achmad Mariadi,2 bulan lalu,"Benar benar pemandangan yang sangat indah menakjubkan, walaupun untuk masuk bayar 10 rb per orang ditambah uang parkir 5rb , kemudian dari parkiran ke kawahnya bayar ojek motor 40rb untuk PP, tapi aku ikhlas karena medannya menanjak lumayan …"
Irma yanti,2 bulan lalu,"kalau org mendaki lwt jalur patah hati, biarkan aku mendaki lwt jalur jatuh hati (cinta)🫣🤭 …"
Nana,sebulan lalu,"aaa cantik poll, ga kabut sama sekali ga sia"" aku capek keatas sini buat pemandangan  se cantikk ini🤍 …"
Wahyu Tri Ananda,Diedit 2 bulan lalu,"Gunung berapi yang terkenal dengan keganasan erupsinya, meski begitu gunung ini sangatlah ramah wisatawan dibandingkan dengan gunung-gunung lainnya, karena wisatawan hanya memerlukan effort kecil untuk bisa menikmati pemandangan gunung ini. …"
Putri Brilliantsyah,5 bulan lalu,"Rela basah""an kena hujan demi apa kalo gk demi view secakepp ini...
Dr mulai datang full kabut..gunung ketutup kabut . Akhirnya hujan lebat bgt end view stlah hujan reda masyallah...banyak air terjun kecil"" terbentuk karena …"
