user,waktu,review,label,clean_text,prediksi_model
Nurma Wulan,4 minggu lalu,"Masyaallah puas bangettt, aku berangkat dari pare jam 05.30 sampe sana masih adem sejuk bgt. Kami ada yg jalan kaki ada yang naik ojek, jalan kaki sekitar 30 menit, naik ojek 40rb pp. Nanasnya enakk manis bgt dan murah, kalo duriannya kurang suka",positif,masyaallah puas bangettt aku berangkat dari pare jam sampe sana masih adem sejuk bgt kami ada yg jalan kaki ada yang naik ojek jalan kaki sekitar menit naik ojek rb pp nanas enakk manis bgt dan murah kalo durian kurang suka,positif
Sella Anjelika Putri,sebulan lalu,"Gunung Kelud punya jalur yang lumayan ekstrem dan menantang. Untuk sampai ke puncaknya wajib pakai guide, jadi lebih aman dan terarah karena pakai alat climbing. …",negatif,gunung kelud punya jalur yang lumayan ekstrem dan tantang untuk sampai ke puncak wajib pakai guide jadi lebih aman dan arah karena pakai alat climbing,negatif
Ismi Alfi,sebulan lalu,"Mendaki tanpa capek bisa ngojekkk
Sampai di pemandangan yang bagus banget murah meriah lagi next bakakalan kesini lagi",negatif,daki tanpa capek bisa ngojekkk sampai di pandang yang bagus banget murah riah lagi next bakakalan kesini lagi,negatif
Vicky Eka,4 bulan lalu,"Buat yang lewat ngantang viewnya kayak gini geys.... Bagus banget 👌.... Perkiraan waktu perjalanan kalau dari ngantang sampai kawah sekitar 5-6 jam ya .... Cman jangan lama lama ya di kawah, bau kawahnya gak sehat buat kesehatanmu 🥺 …",positif,buat yang lewat ngantang viewnya kayak gin geys bagus banget kira waktu jalan kalau dari ngantang sampai kawah sekitar jam ya cman jangan lama lama ya di kawah bau kawah gak sehat buat sehat,positif
Boediman Widjaja,2 bulan lalu,"Pegunungan di wilayah Kediri dengan view yang amazing, pendakian di puncak Pelangi dan Puncak Welirang bisa untuk pendaki pemula (1500 mdpl),tetap berhati-hati karena kontur medan lumayan menanjak dengan permukaan bebatuan dan berpasir. …",positif,gunung di wilayah diri dengan view yang amazing daki di puncak pelangi dan puncak welirang bisa untuk daki mula mdpltetap berhatihati karena kontur medan lumayan tanjak dengan muka bebatuan dan pasir,positif
japaa,2 bulan lalu,"Kelud selalu jd tempat wisata yang bikin rindu.  2 kalinya kesini dan Kelud ga pernah gagal soal pemandangan. Hawanya sejuk dan Damai, palagi kesini bareng orang spesial ❤❤. …",positif,kelud selalu jd tempat wisata yang bikin rindu kali kesini dan kelud ga pernah gagal soal pandang hawa sejuk dan damai palagi kesini bareng orang spesial,positif
Irvan Agus Setiawan,3 bulan lalu,"Bagus banget tempatnya, bisa untuk maen keluarga. Untuk akses mudah jika via kediri terus ada juga ojek yang menunggu di parkiran jika tidak mau jalan namun bagus juga untuk latihan lari pemula gunung",positif,bagus banget tempat bisa untuk maen keluarga untuk akses mudah jika via diri terus ada juga ojek yang tunggu di parkir jika tidak mau jalan namun bagus juga untuk latih lari mula gunung,positif
Syil4zahra,2 bulan lalu,"Benar benar pemandangan yang sangat indah menakjubkan, HTM:  10 rb per orang ditambah uang parkir 5rb , jasa Ojek kalau ingin Ngojek 70K untuk PP, Kalau mau bawah sepeda sendiri juga di ijinkan. Medannya menanjak lumayan ekstrim dan jaraknya sekitar 5km, Aku sarankan kalau bisa gojek saja karena medannya jalan makadam berbatuan.",positif,benar benar pandang yang sangat indah takjub htm rb per orang tambah uang parkir rb jasa ojek kalau ingin ngojek k untuk pp kalau mau bawah sepeda sendiri juga di ijinkan medan tanjak lumayan ekstrim dan jarak sekitar km aku saran kalau bisa gojek saja karena medan jalan makadam batu,positif
Achmad Mariadi,2 bulan lalu,"Benar benar pemandangan yang sangat indah menakjubkan, walaupun untuk masuk bayar 10 rb per orang ditambah uang parkir 5rb , kemudian dari parkiran ke kawahnya bayar ojek motor 40rb untuk PP, tapi aku ikhlas karena medannya menanjak lumayan …",positif,benar benar pandang yang sangat indah takjub walaupun untuk masuk bayar rb per orang tambah uang parkir rb kemudian dari parkir ke kawah bayar ojek motor rb untuk pp tapi aku ikhlas karena medan tanjak lumayan,positif
Wahyu Tri Ananda,Diedit 2 bulan lalu,"Gunung berapi yang terkenal dengan keganasan erupsinya, meski begitu gunung ini sangatlah ramah wisatawan dibandingkan dengan gunung-gunung lainnya, karena wisatawan hanya memerlukan effort kecil untuk bisa menikmati pemandangan gunung ini. …",positif,gunung rap yang kenal dengan ganas erupsi meski begitu gunung ini sangat ramah wisatawan banding dengan gununggunung lain karena wisatawan hanya perlu effort kecil untuk bisa nikmat pandang gunung ini,positif
